,sequence,labels,scores
749,"Rosie loves her children very much, but now they are all grown up, isn't it time they left home?Rosie moved out when she got married, but it didn't work out, so now she is back with her parents. Helen is a teacher and doesn't earn enough for a place of her own. Anthony writes songs and is just waiting for the day when someone will pay him for them. Until then, all three are happy at home. It doesn't cost them anything, and surely their parents like having a full house?Then there is a crisis, and Dee decides things have to change for the whole family... whether they like it or not.","['family', 'break ups', 'relationships', 'divorce', 'death', 'weddings', 'university', 'friendship']","[0.9894329905509949, 0.7953184843063354, 0.6722097992897034, 0.37411969900131226, 0.2669042944908142, 0.06139024347066879, 0.059662505984306335, 0.02059340290725231]"
750,"Sydney Whitman, leader of Popular Girls Club has moved away! Does that mean Callie will try to be friends with Katie again? Just when Katie thinks things might get back to normal, Callir announces that the Popular Girls Club is baking cupcakes for this year's school fund-raiser. Let the Cupcake War begin!","['relationships', 'break ups', 'family', 'friendship', 'weddings', 'university', 'divorce', 'death']","[0.9027907848358154, 0.5923701524734497, 0.4532507359981537, 0.11612813919782639, 0.08374226093292236, 0.0804179236292839, 0.027719683945178986, 0.023116856813430786]"
751,"Meet the Royals of Valleria, a country as old as the fall of the Roman Empire. The current king and patriarch rules with his beloved queen. Nine children, ranging from the eldest twins to the youngest son, watch over the country they love and care for. Bound by honor, duty, and each other, follow their lives as they fall in love, face tragedies, and triumph against the evils facing them.  *** Alexander & Rebecca (Royals of Valleria #1)  Rebecca Campo loves her work. Chief of Staff to Princess Catharine, her best friend and Prince Alexander’s twin sister, she travels all over the world, meets with other royalty, and lives a life she could never have dreamt possible. Having grown up alongside the royal family, she can almost forget they’re royalty; well, all except one. Prince Alexander is every woman's dream, and he seems to want her. Even after their passions overtake them, Rebecca still doesn’t believe they are meant for forever because she’s only a commoner, not a future queen.  Prince Alexander, heir to the throne of Valleria, takes his duties very seriously. So seriously, in fact, that he’s followed duty over pursuing the woman he’s loved for years. However, now it’s time for him to marry, and he’s tired of waiting. He’ll pursue her despite royal objections, and despite her own. Unexpectedly, a death threat is made against the Prince and the whole family goes on alert. What no one counted on, however, was Rebecca getting caught in the crossfire.","['family', 'weddings', 'relationships', 'university', 'death', 'break ups', 'friendship', 'divorce']","[0.6711735725402832, 0.3948928713798523, 0.37421247363090515, 0.2261333018541336, 0.2116526961326599, 0.12608729302883148, 0.1102241724729538, 0.08752986788749695]"
752,"From the brilliant, sharp, witty pen of Sam Selvon, his classic award-winning novel of immigrant life in London in the 1950s.In the hopeful aftermath of war they flocked to the Mother Country — West Indians in search of a prosperous future in the ""glitter-city.""Instead, they have to face the harsh realities of living hand to mouth, of racism, of bone-chilling weather and bleak prospects. Yet friendships flourish among these Lonely Londoners and, in time, they learn to survive.","['friendship', 'weddings', 'relationships', 'family', 'break ups', 'university', 'divorce', 'death']","[0.9472876787185669, 0.6395965814590454, 0.5081959962844849, 0.3369825780391693, 0.0400330126285553, 0.037725988775491714, 0.025204647332429886, 0.006500776391476393]"
753,"Here it is: Robin's baptism by fire as dons the costume of Robin, the Boy Wonder for the first time and patrols the night by Batman's side. In his earliest adventures, Robin learns very quickly that what he thought would be fun is actually a matter of life and death.And in the action-packed origin of the original Batgirl, explore Barbara Gordon's transformation from average citizen into costumed super-heroine.This volume collects BATGIRL: YEAR ONE #1-9 and ROBIN: YEAR ONE #1-4.","['weddings', 'death', 'family', 'divorce', 'university', 'relationships', 'friendship', 'break ups']","[0.6741757988929749, 0.6012316346168518, 0.105295330286026, 0.08180182427167892, 0.05535043030977249, 0.04723085090517998, 0.012198112905025482, 0.011565013788640499]"
754,"Shawn Graham and Bobby Wilder couldn't be more different. Shawn is a devout Christian fundamentalist from northern Michigan; Bobby is a street-smart latchkey kid from southern Ohio. From an early age, they are both confused and troubled by their attraction to the same sex. Shawn believes that homosexuality is sinful, and a traumatic incident of childhood sexual abuse adds to his guilt and shame. Bobby has an image to maintain and flatly denies the possibility that his same-sex attractions even exist. He's just too cool to be gay. When they finally connect, their preconceptions are suddenly dwarfed by what they feel for each other. They become inseparable and fall deeply in love; however, love doesn't make life easy. Plans are in motion that will surely devastate the young couple. Painful experiences of the past overshadow happy memories, and heartbreaking obstacles loom over the possibility of a future. If Shawn and Bobby want to stay together, they will have to fight with everything they have.","['relationships', 'family', 'weddings', 'break ups', 'divorce', 'university', 'friendship', 'death']","[0.954053521156311, 0.665422797203064, 0.4034796953201294, 0.37520673871040344, 0.3642977774143219, 0.32399865984916687, 0.2683955132961273, 0.22364524006843567]"
755,"HIS NAME IS DANTE.  Dark. Talented. Beautiful. Star of the rock band Inferno. Rumored owner of the hot New Orleans nightspot Club Hell. Born of the Blood, then broken by an evil beyond imagination. HIS PAST IS A MYSTERY.  F.B.I. Special Agent Heather Wallace has been tracking a sadistic serial murderer known as the Cross Country Killer, and the trail has led her to New Orleans, Club Hell, and Dante. But the dangerously attractive musician not only resists her investigation, he claims to be ""nightkind"": in other words, a vampire. Digging into his past for answers reveals little. A juvenile record a mile long. No social security number. No known birth date. In and out of foster homes for most of his life before being taken in by a man named Lucien DeNoir, who appears to guard mysteries of his own. HIS FUTURE IS CHAOS.  What Heather does know about Dante is that something links him to the killer -- and she's pretty sure that link makes him the CCK's next target. Heather must unravel the truth about this sensual, complicated, vulnerable young man -- who, she begins to believe, may indeed be a vampire -- in order to finally bring a killer to justice. But Dante's past holds a shocking, dangerous secret, and once it is revealed not even Heather will be able to protect him from his destiny....","['weddings', 'death', 'relationships', 'family', 'break ups', 'university', 'divorce', 'friendship']","[0.7205010652542114, 0.7188645005226135, 0.607860803604126, 0.5785505771636963, 0.4837116599082947, 0.4837031662464142, 0.430483341217041, 0.35596492886543274]"
756,Join Joey and his sister Mary Alice as they spend nine unforgettable summers with the worst influence imaginable--their grandmother!,"['family', 'relationships', 'weddings', 'death', 'friendship', 'divorce', 'break ups', 'university']","[0.8586456179618835, 0.8359031677246094, 0.5701392292976379, 0.1210700273513794, 0.06109436973929405, 0.0451609343290329, 0.02150178700685501, 0.018610751256346703]"
757,"In the frozen pit of blackest hell, Death sleeps. Ravishing beyond words, evil beyond our darkest dreams of Satan, Her eyelids flutter.

Rising from Her pit, She wakes her vampire brood -- and frees them from their ancient graves.

No, no one is safe, no one -- from the unwashed Children of Eve.","['death', 'family', 'weddings', 'relationships', 'break ups', 'divorce', 'university', 'friendship']","[0.07771995663642883, 0.02703370712697506, 0.012940091080963612, 0.012604523450136185, 0.008876907639205456, 0.008814689703285694, 0.006615475285798311, 0.004098896402865648]"
758,"Stars in My Pocket Like Grains of Sand is a science fiction masterpiece, an essay on the inexplicability of sexual attractiveness, and an examination of interstellar politics among far-flung worlds. First published in 1984, the novel's central issues--technology, globalization, gender, sexuality, and multiculturalism--have only become more pressing with the passage of time.The novel's topic is information itself: What are the repercussions, once it has been made public, that two individuals have been found to be each other's perfect erotic object out to ""point nine-nine-nine and several nines percent more""? What will it do to the individuals involved, to the city they inhabit, to their geosector, to their entire world society, especially when one is an illiterate worker, the sole survivor of a world destroyed by ""cultural fugue,"" and the other is--you!","['weddings', 'relationships', 'family', 'friendship', 'death', 'break ups', 'divorce', 'university']","[0.34951576590538025, 0.22234606742858887, 0.0999181717634201, 0.053542785346508026, 0.04280079901218414, 0.04072190076112747, 0.03429169952869415, 0.030959580093622208]"
759,"The Indian thumped his chest and repeated, ""Know God here."" Opening the fist, he touched his temple. ""Need God here. Missionary say this book teach God. You teach.""Captured by the Lakota Sioux on a Nebraskan prairie, Jesse King wonders how she will adjust to life among the Indians. But as she prays for a sustaining faith, she discovers God's tender mercies in her friendship with an Indian woman and in her love for the Sioux brave, Rides the Wind.Finding an unexpected peace and sense of belonging with the tribe, Jesse learns that the Lakota Sioux have a beautiful culture. And in learning to love the culture, she becomes forever divided between two worlds.An extraordinary chronicle of a pioneer woman who loves, hurts, and triumphs in her faith, Walks the Fire takes you from a prairie schooner to a teepee, from a frontier fort to a growing young state capitol. The first in a series, Walks the Fire is a tender and beautiful love story, as well as a thrilling adventure.","['relationships', 'weddings', 'friendship', 'family', 'break ups', 'university', 'divorce', 'death']","[0.8297052383422852, 0.6896921396255493, 0.6041630506515503, 0.49804365634918213, 0.13293856382369995, 0.13125906884670258, 0.11648959666490555, 0.0458814799785614]"
760,"As part of a chosen bloodline, Kerrigan Cruz has inherited a gift: supernatural powers which give her the ability to protect a person's free will from those who wish to alter destiny for their own design. After her grandmother's passing, Kerrigan meets Dominic Grayson, an alluring stranger with a secret of his own. Dominic has been cursed, touched by both darkness and light, and Kerrigan is the only one who can save him. In their world, only three things are certain: His curse. Her gift. Their destiny.","['family', 'relationships', 'weddings', 'university', 'friendship', 'death', 'divorce', 'break ups']","[0.5311191082000732, 0.24195443093776703, 0.2289707213640213, 0.1363489180803299, 0.1011856198310852, 0.07044173777103424, 0.061970338225364685, 0.05475439131259918]"
761,"While pursuing his quest for the Dark Tower through a world that is a nightmarishly distorted mirror image of our own, Roland, the last gunslinger, encounters three mysterious doorways on the beach. Each one enters into the life of a different person living in contemporary New York. Here he links forces with the defiant young Eddie Dean and the beautiful, brilliant, and brave Odetta Holmes, in a savage struggle against underworld evil and otherworldly enemies.Once again, Stephen King has masterfully interwoven dark, evocative fantasy and icy realism.","['weddings', 'relationships', 'family', 'university', 'friendship', 'death', 'break ups', 'divorce']","[0.7157691121101379, 0.30452173948287964, 0.2646426558494568, 0.08170276880264282, 0.0805734172463417, 0.05193866044282913, 0.035689353942871094, 0.023959973827004433]"
762,"I'M TELLING YOU THIS BECAUSE YOU DIDN'T ASK. I'VE GOT IT ALL HERE, GROWING LIKE A TUMOR IN MY THROAT.I'm telling you because if I don't, I will choke on it. Everybody knows what happened, but nobody asks. And Elvis the EMT doesn't count because when he asked, he didn't even listen to me answer because he was listening to my sister's heart not beat with his stethoscope. I want to tell. It's mine to tell. Even if you didn't ask, you have to hear it. Fourteen-year-old Donnie's older sister, Karen, has always been the one person in his life on whom he could totally depend. But as Karen slowly slips away in the grip of an eating disorder, Donnie finds himself alone in facing the trauma of his parents' faltering marriage and his new life as an outcast at school. Donnie makes it his responsibility to cure his sister's illness and fix his parents' issues, letting every part of himself disappear in the process. It is more important -- and somehow easier -- to figure out if today is a day when Karen is eating, or to know if Dad and Mom are sleeping in the same bedroom, than to deal with his own problems. In the end, though, Donnie must decide whether to float through life unnoticed, or to claim his rightful place as a member of his family and of the world. This powerful story from a brilliant new talent introduces a memorable boy in Donnie, who, from his funny and painfully honest point of view, describes a harrowing year that leaves both him and his family forever changed.","['family', 'weddings', 'relationships', 'break ups', 'divorce', 'university', 'friendship', 'death']","[0.5096703767776489, 0.4418219029903412, 0.22516220808029175, 0.18512549996376038, 0.130451500415802, 0.1125851422548294, 0.0752524882555008, 0.05908767879009247]"
763,"An unlikely bond is forged between three men from very different backgrounds when they serve time together in prison. A series of wrong turns and disastrous life choices has led to their incarceration. Following their release, Mangle, Decker and Tazeem stick together as they return to a life of crime, embarking on a lucrative scam. But when they stumble upon a sophisticated sex-trafficking operation, they soon realise that they are in mortal danger. The disappearance of a family member and the murder of a dear friend lead the three to delve deeper into a world of violence and deception. In their quest for retribution and justice, they put their lives on the line. Their paths cross with that of Tatiana, who has left her home country for a better life in the West—or so she thinks. She soon realises she is in the hands of ruthless, violent people, who run an operation supplying girls to meet the most deviant desires of rich and powerful men. Will she survive the horrors of The Zombie Room? Are Mangle, Decker and Tazeem brave enough to follow her there, in an attempt to set her free?","['weddings', 'relationships', 'family', 'friendship', 'break ups', 'death', 'university', 'divorce']","[0.7509182691574097, 0.5431642532348633, 0.3225279152393341, 0.2981424927711487, 0.14653350412845612, 0.11067527532577515, 0.07843377441167831, 0.07046430557966232]"
764,"While trying to save her brother from a witch’s fire four years ago, Greta was thrown in herself, falling through a portal to Mylena, a dangerous world where humans are the enemy and every ogre, ghoul, and goblin has a dark side that comes out with the eclipse. To survive, Greta has hidden her humanity and taken the job of bounty hunter—and she’s good at what she does. So good, she’s caught the attention of Mylena’s young goblin king, the darkly enticing Isaac, who invades her dreams and undermines her will to escape. But Greta’s not the only one looking to get out of Mylena. An ancient evil knows she’s the key to opening the portal, and with the next eclipse mere days away, every bloodthirsty creature in the realm is after her—including Isaac. If Greta fails, she and the lost boys of Mylena will die. If she succeeds, no world will be safe from what follows her back...","['weddings', 'university', 'relationships', 'death', 'divorce', 'family', 'break ups', 'friendship']","[0.7045056819915771, 0.582243025302887, 0.5598739385604858, 0.5119943022727966, 0.4879317283630371, 0.34870558977127075, 0.051224932074546814, 0.013600582256913185]"
765,"The Maze Runner Files is a 50+ page collection of classified records and concealed information from the world of the New York Times bestselling Maze Runner series. Lost emails between WICKED employees, memos meant to be destroyed after reading, and a selection of the Gladers suppressed memories make up this e-original short. These documents offer a unique glimpse of the world of The Maze Runner and are a must for any fan of The Maze Runner.","['weddings', 'relationships', 'family', 'divorce', 'death', 'university', 'friendship', 'break ups']","[0.6599445939064026, 0.20421089231967926, 0.10182275623083115, 0.09300479292869568, 0.08847983181476593, 0.078699991106987, 0.05458523705601692, 0.04883942753076553]"
766,"The first graphic novel from America's Best Comics, like all titles from ABC, is written and created by Alan Moore, writer of Watchmen, the classic Swamp Thing, and V for Vendetta. Boasting some of Moore's most powerful writing in years, this volume introduces Promethea, a powerful figure who appeared in Victorian children's stories and turn-of-the-century comic strips and gains new life through Sophie Bangs, a college student in alternate-reality New York City. But as this exotic heroine leaps into battle, will Sophie's personality be able to reemerge when the battle is over?","['weddings', 'university', 'family', 'relationships', 'death', 'break ups', 'friendship', 'divorce']","[0.7277677655220032, 0.6221294403076172, 0.19333180785179138, 0.0907544493675232, 0.06598407030105591, 0.0655437782406807, 0.038612689822912216, 0.03004659339785576]"
767,4th Volume in the Levem Thumps Series. Leven continues quest to save the imaginations and dreams of all mankind,"['family', 'relationships', 'friendship', 'weddings', 'university', 'break ups', 'divorce', 'death']","[0.25453346967697144, 0.16740058362483978, 0.15711763501167297, 0.11713200807571411, 0.11459524929523468, 0.021358733996748924, 0.018051613122224808, 0.003921498544514179]"
768,"""If the law is of such a nature that it requires you to be an agent of injustice to another, then I say, break the law."" So wrote the young Henry David Thoreau in 1849. Three years earlier, Thoreau had put his belief into action and refused to pay taxes because of the United States government's involvement in the Mexican War, which Thoreau firmly believed was unjust. For his daring and unprecedented act of protest, he was thrown in jail. The Night Thoreau Spent in Jail is a celebrated dramatic presentation of this famous act of civil disobedience and its consequences. Its poignant, lively, and accessible scenes offer a compelling exploration of Thoreau's philosophy and life.","['weddings', 'relationships', 'university', 'family', 'break ups', 'divorce', 'death', 'friendship']","[0.8975064754486084, 0.6620395183563232, 0.5847797393798828, 0.4126847982406616, 0.23143960535526276, 0.08145582675933838, 0.05471157282590866, 0.03901352733373642]"
769,"October 1789, and war clouds thunder over Europe when Richard Bolitho steers the Tempest into the perilous waters of the Great South Sea. To protect vulnerable English shipping lanes from her seagoing enemies, he must face the hazards of fickle winds, pirates, and savage islanders.","['weddings', 'death', 'family', 'relationships', 'university', 'break ups', 'divorce', 'friendship']","[0.7239291667938232, 0.2826096713542938, 0.06463837623596191, 0.020794810727238655, 0.014431036077439785, 0.005635414272546768, 0.004778468515723944, 0.00032034548348747194]"
770,"On a sultry summer’s day in 1980, five friends stumble upon an abandoned lakeside cottage hidden deep in the English countryside. For Kat and her friends, it offers an escape; a chance to drop out for a while, with lazy summer days by the lake and intimate winter evenings around the fire. But as the seasons change, tensions begin to rise and when an unexpected visitor appears at their door, nothing will be the same again.Three decades later, Lila arrives at the same remote cottage. With her marriage in crisis, she finds solace in renovating the tumbledown house. Little by little she wonders about the previous inhabitants. How did they manage in such isolation? Why did they leave in such a hurry, with their belongings still strewn about? Most disturbing of all, why can t she shake the feeling that someone might be watching her?The Shadow Year is a story of secrets, tragedy, lies and betrayal. It’s a tale that explores the light and dark of human relationships and the potential the past has to not only touch our present, but also to alter our future.","['relationships', 'family', 'friendship', 'break ups', 'weddings', 'university', 'divorce', 'death']","[0.9760144948959351, 0.5632722973823547, 0.5021641254425049, 0.4786798059940338, 0.4364337921142578, 0.4086536169052124, 0.31677961349487305, 0.21863935887813568]"
771,"Morpheus wants to know more about his rival for Alyssa's affections, so he digs into Jeb's memories of his time in Wonderland. But he may be surprised by what he finds. This brand-new story and perspective from A.G. Howard's dark, magical world stands alone, but also provides a tantalizing glimpse of what's to come in Unhinged, the sequel to Splintered.","['weddings', 'relationships', 'family', 'university', 'friendship', 'break ups', 'divorce', 'death']","[0.49240222573280334, 0.3748078942298889, 0.3105630576610565, 0.19902151823043823, 0.12003456801176071, 0.04165322706103325, 0.034048378467559814, 0.013872998766601086]"
772,"Set on the French Riviera in the late 1920s, Tender Is the Night is the tragic romance of the young actress Rosemary Hoyt and the stylish American couple Dick and Nicole Diver. A brilliant young psychiatrist at the time of his marriage, Dick is both husband and doctor to Nicole, whose wealth goads him into a lifestyle not his own, and whose growing strength highlights Dick's harrowing demise. A profound study of the romantic concept of character, Tender Is the Night is lyrical, expansive, and hauntingly evocative.","['relationships', 'family', 'weddings', 'university', 'death', 'break ups', 'divorce', 'friendship']","[0.8329632878303528, 0.21359732747077942, 0.1549021452665329, 0.1421511173248291, 0.058317627757787704, 0.037468865513801575, 0.027060404419898987, 0.006877395324409008]"
773,"Based on an original new story by J.K. Rowling, Jack Thorne and John Tiffany, a new play by Jack Thorne, Harry Potter and the Cursed Child is the eighth story in the Harry Potter series and the first official Harry Potter story to be presented on stage. The play will receive its world premiere in London’s West End on July 30, 2016.It was always difficult being Harry Potter and it isn’t much easier now that he is an overworked employee of the Ministry of Magic, a husband and father of three school-age children.While Harry grapples with a past that refuses to stay where it belongs, his youngest son Albus must struggle with the weight of a family legacy he never wanted. As past and present fuse ominously, both father and son learn the uncomfortable truth: sometimes, darkness comes from unexpected places.","['family', 'weddings', 'relationships', 'break ups', 'university', 'divorce', 'death', 'friendship']","[0.9488152265548706, 0.723661482334137, 0.3820439279079437, 0.35025864839553833, 0.3405938446521759, 0.31405267119407654, 0.3010006546974182, 0.03336523845791817]"
774,"""I wanted this to be real life, not a detour....""Addie is visiting Ireland for her aunt’s over-the-top destination wedding and hoping she can stop thinking about the one horrible thing that left her miserable and heartbroken—and threatens her future. But her brother, Ian, isn’t about to let her forget, and his constant needling leads to arguments and even a fistfight between the two once-inseparable siblings.But when Addie discovers an unusual guidebook, Ireland for the Heartbroken, hidden in the dusty shelves of the hotel library, she’s finally able to escape her anxious mind—and Ian’s criticism.And then their travel plans change. Suddenly Addie finds herself on a whirlwind tour of the Emerald Isle, trapped in the world’s smallest vehicle with Ian and his admittedly cute Irish-accented friend Rowan. As the trio journeys over breathtaking green hills, past countless castles, and through a number of fairy-tale forests, Addie hopes her guidebook will heal not only her broken heart, but also her shattered relationship with her brother.That is, if they don’t get completely lost along the way.","['relationships', 'break ups', 'family', 'weddings', 'divorce', 'friendship', 'death', 'university']","[0.7636617422103882, 0.7190239429473877, 0.6984645128250122, 0.6710518002510071, 0.6404948830604553, 0.31607091426849365, 0.23454226553440094, 0.18633104860782623]"
775,"In 1935, the Nazi's established a program called “The Lebensborn.” Their agenda, to genetically engineer perfect Aryan children.These children were to be the new master race, once HItler had cleared all undesirable elements out of Europe. Within a year the first institution was built.The year is 1943....The forests of Munich are crawling with danger under the rule of ""The Third Reich,"" but in order to save the life of her unborn child Petra Jorgenson must escape from the Lebensborn Institute. Alone, seven months pregnant, and penniless avoiding the watchful eyes of the armed guards in the overhead tower, she waits until the dead of night. Then, Petra climbs under the flesh shredding barbed wire that surrounds the institute and at the risk of being captured and murdered she runs headlong into the terriying desolate woods.Even during one of the darkest periods in the history of mankind, when horrific acts of cruelty became commonplace and Germany seemed to have gone crazy following the direction of a madman, unexpected heros came to light. And although there were those who would try to destroy it, true love would prevail. Here, in this lost land ruled by human monsters, Petra will learn that even when one faces what appears to be the end of the world if one looks hard enough one will find that there is always ""A Flicker Of Light.""","['weddings', 'university', 'relationships', 'family', 'friendship', 'death', 'divorce', 'break ups']","[0.7156593799591064, 0.5841418504714966, 0.5079989433288574, 0.35942891240119934, 0.23920565843582153, 0.21557970345020294, 0.1796627938747406, 0.11609470844268799]"
776,"The multi-million-copy bestseller that coined the phrase for tragic American blunders abroad.First published in 1958, The Ugly American became a runaway national bestseller for its slashing expose of American arrogance, incompetence, and corruption in Southeast Asia. Based on fact, the book's eye-opening stories and sketches drew a devastating picture of how the United States was losing the struggle with Communism in Asia. Combining gripping storytelling with an urgent call to action, the book prompted President Eisenhower to launch a study of our military aid program that led the way to much-needed reform.""Powerful and absorbing.... Should be required reading in Washington"". -- Kirkus Reviews""Not only important but consistently entertaining.... The attack on American policy in Asia this book makes is clothed in sharp characterizations, frequently humorous incident, and perceptive descriptions of the countries and people where the action occurs"". -- Robert Trumbull, former chief correspondent for the New York Times in China and Southeast Asia","['weddings', 'relationships', 'break ups', 'family', 'death', 'university', 'divorce', 'friendship']","[0.7782008051872253, 0.612200140953064, 0.392047643661499, 0.30177146196365356, 0.2736685872077942, 0.22636786103248596, 0.21972531080245972, 0.02507892996072769]"
777,"Boyd, the author of A Good Man in Africa and Brazzaville Beach, here gives us something entirely new, part suspense, part romance, all grand storytelling.

A young woman, waylaid by an old man who claims to be her father, hears his story of corruption and intrigue as the two of them embark on a remarkable journey.","['relationships', 'family', 'weddings', 'university', 'friendship', 'divorce', 'break ups', 'death']","[0.5689137578010559, 0.16638261079788208, 0.07925272732973099, 0.03741184622049332, 0.01711740344762802, 0.01040852814912796, 0.005035404581576586, 0.004202231299132109]"
778,"One year ago, I became a missing person. I left everything behind—family, friends, school. It seemed like a good idea at the time. My only option, really, until I realized running from a police officer isn’t as easy as I thought it would be.It’s been exactly three-hundred and sixty-five days since I left home, but I’m finally ready to take the step I should have taken a year ago. I’m done hiding. I’m done running. I’m going to take my life back.It was supposed to be easy. A meeting with Jason Pierce, a private investigator, was set up for me. All I had to do was go to him, let him do his thing, and then I could go home, or so I thought.That is, until I met Jason and things got … complicated.","['weddings', 'relationships', 'family', 'break ups', 'death', 'university', 'friendship', 'divorce']","[0.6851530075073242, 0.4631533622741699, 0.3534112572669983, 0.2586785852909088, 0.19335515797138214, 0.14193691313266754, 0.11998234689235687, 0.09076764434576035]"
779,"Something wicked is brewing in New York.  “A month ago, I watched in horror as six of my fellow initiates died after sipping the Nectar of the gods, a heavenly drink that either grants you magical powers or kills you. I can’t believe I’m coming back for seconds.”  Leda Pierce has survived the gods’ first test and gained entry into the Legion of Angels, but the fight is far from over. Someone is poisoning the supernaturals of New York. Suspecting witches, the Legion sends in Leda to investigate. To save the city, she will need magic she doesn’t have—and gaining that magic might just kill her. Now her survival depends on accepting help from the darkly seductive angel Nero, but that help comes with a price she cannot afford to pay.  Witch’s Cauldron is the second book in the Legion of Angels series.   The Legion of Angels series  
   Vampire's Kiss 
   Witch's Cauldron 
   Book 3 coming soon 
 ","['weddings', 'death', 'relationships', 'family', 'university', 'friendship', 'break ups', 'divorce']","[0.3459794521331787, 0.30989253520965576, 0.1685594767332077, 0.15963701903820038, 0.10577505826950073, 0.10148654133081436, 0.08792394399642944, 0.07224362343549728]"
780,"Jessica Wakefield thinks she'll have a terrible time on her family's fishing trip to Sun Lake. She doesn't want to touch a fish, or even worse, a worm!But after spending one day on shore while everyone else is out fishing on the lake, Jessica is miserable. Her new friend, Jilly, turns out to be mean and bossy. Jessica is sure that her twin sister, Elizabeth, and the rest of the family are having a great time. When she finally gives fishing a try, the result is a jumbo surprise for everyone—especially Jessica.","['family', 'weddings', 'friendship', 'relationships', 'university', 'break ups', 'death', 'divorce']","[0.9721947908401489, 0.6765603423118591, 0.5128962993621826, 0.15408970415592194, 0.05800142511725426, 0.030559666454792023, 0.029804527759552002, 0.029608506709337234]"
781,"From: High Commissioner, NairobiTo: Head of MI6 Special Operations, LondonClassification: Top SecretPriority: Flash telegramOperation Ringmaster seriously compromised. Agent Michael Lock missing in pursuit of suspect. Lock's daughter, Darcie, now in danger. Request her immediate evacuation from Kenya.REQUEST DENIED.Darcie’s sheltered expat life among the rich of Nairobi is about to change. Another side of Africa awaits – a world of international smuggling, espionage and corruption.And that’s where the madness begins...","['family', 'death', 'relationships', 'weddings', 'break ups', 'divorce', 'university', 'friendship']","[0.5308271646499634, 0.30834147334098816, 0.0967165008187294, 0.0822853073477745, 0.053674791008234024, 0.033997319638729095, 0.018937543034553528, 0.01674060896039009]"
782,"My name is Evie Claremont and this was to be the making of me–my freshman year of college. I’d been hoping that once I’d arrived on Crestwood’s campus, the nightmare that I’ve been having would go away. It hasn’t.I may be an inexperienced seventeen-year-old, but I’m grounded…sane. I look for rational explanations to even the strangest circumstances. Since meeting sophomore Reed Wellington, however, nothing makes any sense. Whenever he’s near, I feel an attraction to him–a magnetic kind of force pulling me towards him. I know what you’re thinking…that sounds fairly awesome. Yeah, it would be…if he liked me, but Reed acts as if I’m the worst thing that has ever happened to Crestwood…or him. But get this, for some reason every time I turn around he’s there, barging into my life.What is the secret that he’s keeping from me? I’m hoping that it’s anything but what I suspect: that he’s not exactly normal…and neither am I. So, maybe Crestwood won’t be the making of me, but it could be the breaking of me. I’ve been left to wonder if the dark future my dream is foretelling is…inescapable.","['university', 'weddings', 'death', 'relationships', 'break ups', 'family', 'divorce', 'friendship']","[0.6609379649162292, 0.6015943884849548, 0.5976568460464478, 0.5640833377838135, 0.5155519247055054, 0.39503803849220276, 0.3425828218460083, 0.2916768789291382]"
783,"A beautiful earth woman is kidnapped by Yargo, the incredibly attractive ruler of a distant world and begins a romantic adventure to exotic planets.","['relationships', 'weddings', 'university', 'family', 'friendship', 'divorce', 'break ups', 'death']","[0.9165695905685425, 0.2817564606666565, 0.07306378334760666, 0.049757495522499084, 0.01768047735095024, 0.015268445014953613, 0.007080279290676117, 0.004605403169989586]"
784,"This B&N Exclusive Edition includes variant cover art by Mitch Gerads, a special introduction by Tom King, and the complete script to issue #1Mister Miracle is magical, dark, intimate and unlike anything you've read before.Scott Free is the greatest escape artist who ever lived. So great, he escaped Granny Goodness' gruesome orphanage and the dangers of Apokolips to travel across galaxies and set up a new life on Earth with his wife, Big Barda. Using the stage alter ego of Mister Miracle, he has made quite a career for himself showing off his acrobatic escape techniques. He even caught the attention of the Justice League, who has counted him among its ranks.You might say Scott Free has everything--so why isn't it enough? Mister Miracle has mastered every illusion, achieved every stunt, pulled off every trick--except one. He has never escaped death. Is it even possible? Our hero is going to have to kill himself if he wants to find out.From Hugo Award nominated writer Tom King and artist Mitch Gerads, the team behind The Sheriff of Babylon, comes an ambitious new take on one of Jack Kirby's most beloved New Gods in Mister Miracle! One of the best-reviewed series of the year and already a classic in the making! Collects Mister Miracle #1-12.","['weddings', 'relationships', 'divorce', 'university', 'death', 'family', 'friendship', 'break ups']","[0.1263599693775177, 0.10666932165622711, 0.10436898469924927, 0.10172396898269653, 0.08258471637964249, 0.06234213337302208, 0.0473935641348362, 0.03847477585077286]"
785,"The High Regent has called members of each royal vampire family to council. Katrina Von Dracek wonders what this will mean to her.

Does the council really intend to start a new covern in the Americans or is there something else?

All Katrina's vampire senses tell her evil is around them and that she will be the one called upon to save them all.","['family', 'relationships', 'death', 'weddings', 'break ups', 'friendship', 'divorce', 'university']","[0.08190778642892838, 0.04134871065616608, 0.03185522183775902, 0.02120361663401127, 0.01873156987130642, 0.016545981168746948, 0.014933886006474495, 0.007311801891773939]"
